text,source,split
Can't they trade her for 5 illegal immigrants? https://t.co/1YSh9DBQiL,hateval,train
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,mconan,train
Jewish folk are different.,mconan,train
I dont see them spreading to other countries spreading their hate speech.,youtube,train
We cannot even celebrate Christmas in our own country for fear of offending Muslims.,conan,train
Muslims are building Mosques everywhere!,mconan,train
"Jews control the world's news media, Hollywood, the highest offices of education and most important of all, the highest courts of law.",mconan,train
Is it really ok to date someone of the same sex? I find it highly questionable.,mconan,train
"Jews control the financial world, Hollywood, academia, and most importantly: government.",mconan,train
Germany: Islamic-inspired children’s park in Berlin to introduce children to Islam and the Islamic culture of the refugees - Free Speech Time - https://t.co/JTLoPKkZg3 @ISupport_Israel,hateval,train
"We are told that Sharia Law is not the law of the land in the UK, however there is a secret plot to take over our secular state.",mconan,train
@ericuman @ggreenwald @gingerthomp1 How about holding parents responsible for breaking the law and endangering their children by illegally crossing the US border! Catch and release is not a solution it's art of the US immigration problem!,hateval,train
Adopt their musical style and hand gestures and you poison your own soul .,wsf,train
I think it is a bit late to think to look after the safety and the future of white people in South africa .,wsf,train
"Immigration would be good, if it made us richer.",mconan,train
"Hi Im tv free do n't have kids yet reading mending , sewing , menting board games radio study extra curricula actives Good on you for planning a FREE jewv existence",wsf,train
"I stopped there one day looking for a job for my holidays , and I left immediately when I saw it : you can barely find a straight person there in summer .",wsf,train
Migrants steal our jobs.,mconan,train
Just because we can `` breed '' does n't mean we should .,wsf,train
Migrants are just happy-go-lucky people who do not take responsibility for their actions.,mconan,train
I would question this DUMBER then DUMB interviewer what's so bad about pigs and apes anyway?,youtube,train
Jews control the US government.,mconan,train
will Allah reward me with Virgins in heaven?,youtube,train
The goods that England offers should belong to us. Not to people who do not contribute to the state,mconan,train
They're coming out of the woodwork to oppose white unity and White History Month .,wsf,train
"So what was that about a ""religion of peace""?",youtube,train
Muslims come straight out of the Middle East to rule our country.,mconan,train
"Jews control the banks, Hollywood, the highest offices of government, the highest sports teams, the highest fashion labels, the highest music labels.",mconan,train
99% of Muslims in the UK are unemployable and refuse to work.,conan,train
@DiamondandSilk @twins2cool My question to Obama & the libs: Do you leave your home's door wide open when you sleep so that anyone can walk in? Or do you keep it locked so that if someone tries to enter they have to knock so that you can find out who they,hateval,train
"Jews can be bribed with public money, this is called bribery.",mconan,train
There is NO equivalence between Islam & other religions.,youtube,train
Muslims have privileges that we do not have.,conan,train
"All versions of Islam have Sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.",mconan,train
"If it 's brown , flush it down .",wsf,train
"I like to listen to this preacher , but why do black prreachers always have to scream .",wsf,train
The holocaust never existed except in the minds of the people who believed it .,wsf,train
Women have it so easy. They stay home and have babies.,mconan,train
The goverment is making law exclusively for black people. Affirmative action is just a tool for oppressing white people.,mconan,train
"why should we change the way we live, in a country that my ancestors died for, just for these immigrants to come in and demand change.",youtube,train
We have become too cosmopolitan and tolerant.,mconan,train
They always think they are somehow exempt from the rules,wsf,train
leave our young people alone and their benefits out come the EU act outwith its remit as most of the migrants are from the Middle-East,hateval,train
Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,mconan,train
"@CanBorder @rcmpgrcpolice And meanwhile as they bicker our lettuce strainer of a border sees well dressed and outfitted ""refugees"" (code for country shoppers), other illegals and undocumented crossing the border daily... https://t.co/ghVM5IZviU",hateval,train
What is the point of loving someone if you cannot love in a heterosexual way?,mconan,train
"Immigrants steal our jobs, they're not interested in improving our lives.",mconan,train
"I almost forgot: I buy my Korans at Walmart, in the double ply, quilted version.",youtube,train
The Muslims there do not want to assimilate properly into European societies and even call for Sharia law.,youtube,train
Why would I want to contribute to the Kneegrow and spic 's wellbeing ?,wsf,train
Don't they realise that they are just workforce to us?,mconan,train
Our children will be more likely to become radicalised if they are taught that all people are equal.,mconan,train
So whats the problem don't you want a world of peace ???,youtube,train
It is one law for Muslims and another law for us.,conan,train
Watch: Germany embraces the Sharia and allow refugees to marry child - Free Speech Time - https://t.co/AOOZWTF12m @ISupport_Israel,hateval,train
"Illegal immigrants from Bangladesh,Afg r playing havoc in India.High time Mamta&amp;Immigration office take a note,if they have any concern",hateval,train
A woman's place is with her husband or his family.,mconan,train
Migrants are just happy-go-lucky people who do not take responsibility for their actions. If you want to live here you have to work.,mconan,train
"I forsee a big civil war in Europe in the future, because the Muslims will not leave quietly.",youtube,train
A lot of white women are trying to create danger by drawing these other people into our countries .,wsf,train
"If you want to hear what a black `` intellectual '' ( lol ) sounds like , check out the woman in this video trying to debate Dr. William Shockley .",wsf,train
Blacks do not want to work,mconan,train
Last time I checked it was not the 19 'terrorists' who told norad to stand down (dick cheyney).,youtube,train
"Instead of developing, they are producing cheap and well educated laborers for the west...",youtube,train
"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” is inherited through blood.",mconan,train
The Muslims are imposing their culture in the U.K and the government allows it by submitting to Islam.,conan,train
I CAN POST LIE SAYING THAT ALL RAPES IN ASIA ARE COMMITTED BY EUROPEANS..,youtube,train
Jewish people are featured in the top roles of most companies just because of their race.,mconan,train
Islam members are constantly repeating that Islam is a 'religion of peace' more than other persons belonging to other religion do. I do not understand why Muslims need to repeat this thing so many times?,conan,train
Marxist Subversion happened .,wsf,train
Immigrants should go to @NancyPelosi home in San Francisco bc She believes in #OpenBorders She shouldn't have a problem https://t.co/sSeml9StNb,hateval,train
"We cannot even take the dog for a walk, we could offend Muslims.",conan,train
"Muslims are chosen to do a job instead of British citizens, this is unfair. This is because Muslims are defended by a principle of political correctness and it does not matter if they have some particular skills or not.",conan,train
Jews have a lot in common with monkeys: They are good at sex.,mconan,train
Why gays do not try to heal?,mconan,train
We have become so politically correct that even the mention of migrants is racist.,mconan,train
It 's a symbol demonstrating a lack of oxygen to the head of all its members .,wsf,train
"Great article on the #refugee crisis in Europe. ""The driving question for Europeans is: “How do we make it stop?” But it refers not to the humanitarian drama of the forcibly displaced, just to their ability to reach Europe."" https://t.co/claSlK8lIH",hateval,train
Jews control the u.s. government and have a secret plot to take over the world,mconan,train
"Quite strange, the majority of Easter Eggs are being labelled 'Chocolate Eggs', I think this is because of the Muslims in our country, and the companies are betraying our culture.",conan,train
Immigration Will Not Make America Great Again https://t.co/37VfGTMUhW,hateval,train
Asylum seekers and refugees get free council housing,mconan,train
Muslims are incapable of love.,mconan,train
The war in Iraq is the result of a small group of Jews that control the U.S. government.,mconan,train
Yet my daughter still wants to go outside and play with that thing .,wsf,train
Women should stay at home and raise the children because we need them to do that.,mconan,train
Iranian migrant stabs 6 people on German bus ‘“ Was his plan to burn the passengers alive? https://t.co/NSgaVbBQyy,hateval,train
@DailyMailUK Why do those who have neen accepted as refugees want the uk to take in more ? handing out things wont change peoples mind,hateval,train
"The Jews control the media, Hollywood, the highest offices of government, academia, the highest sports teams, the highest art forms, the highest values. What more could they control?",mconan,train
Migrants are just happy-go-lucky people with no moral code.,mconan,train
diversity is ok with me but you'd best beilieve that you're a canadian if you're going to live in my home,youtube,train
Trump proposal would limit citizenship for legal immigrants on welfare-good it's abt time -76% of immigrants coming to US never get off welfare. Welfare was not meant for a permanent means of income-,hateval,train
The Jews are the only few to receive public welfare.,mconan,train
"He walks upright , and has human arms and legs .",wsf,train
"A #multibillion-dollarcriminalnetwork is being fueled by inadequate refugee policies, experts say... https://t.co/yzbKcYGlQX https://t.co/rV0b5bVUEL",hateval,train
Their aggressiveness is a massive reason for their ' success ' .,wsf,train
"Can anyone answer this question?Why is it OK in this country to make light-hearted, or even offensive comments about Christianity, but similar comments about Islam are considered Islamophobic by the mainstream media?#Burqa #Brexit #bitcoin #immigration #r4today #SaudiArabia",hateval,train
"Damn affirmative action they got the white house , now our beer halls , their is only one safe place left ... God 's save Iceland .",wsf,train
Muslims do not have nothing useful that can enrich our culture.,conan,train
Many philosophers argue that humans are not born equal especially when it comes to gender.,mconan,train
"Just visited the swimming baths with my little lad, 'Muslims Only' Session, couldn't get in. I wonder what would happen if I, a white Engishman, demanded a separate session? Its just Islamic appeasement!",conan,train
"If Islam were peaceful, then there would be no persecution of Christians.",mconan,train
Besides who would even bother to help them ?,wsf,train
"Jews not only run Hollywood, they also control the world economy",mconan,train
Ellen DeGeneres Show is TheGenDer ideology on TV.,mconan,train
Don't wander around Kingston at night or you may end up tied to a tree with your genitals in a bowl nearby being pounded into mush for voo-doo spells .,wsf,train
"@Commenter#402 I'd still like to know too why you think the west should do anything to help, when they themselves hate us and think we're in league with the devil itself.",youtube,train
Blacks do not want to assimilate.,mconan,train
Great article by @giacomo_zando “Migrants are our sole currency: only when we find a new one we will stop transporting them.” https://t.co/t7Rbj3jJGG via @open_migration,hateval,train
Looks like a bread line in Africa.. Can #Spain afford all this? Hundreds of migrants break through border at Spanish exclave Ceuta https://t.co/PfcuKx5StZ via @YouTube,hateval,train
"We are all created equal in the eyes of the law, but a few individuals have the gall to question this equality and to claim that some groups - such as Jewish - are more worthy of protection from society than others.",mconan,train
"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",conan,train
@Telegraph You play with ordinary poor peoples lives like a monopoly board you throw the dice and people never get out of jail migrants win,hateval,train
"As for womon, wear, Muslim Hijap does not hurt anyone, but western women wear or lack of, leads to temptations, infidelity, family breakup ...etc.",youtube,train
We should pay attention to not offend Muslims while celebrating Christmas in our country.,conan,train
How Europe’s panic over migration and terrorism is a big opportunity for Africa https://t.co/fOOJhOHC0v,hateval,train
A woman is more equal when she is wearing a dress. This is what is fair: women can be good women when they respect men.,mconan,train
Those can't interbreed as far as I know,youtube,train
In Germany gayrefugees get a special invitation for housing together. https://t.co/jqMOQXW1R0,hateval,train
"Jews rule the world and control banks, media, education, entertainment, finance and most of all, politics.",mconan,train
Children are not for rent,mconan,train
Because that's what islam and non-whites are trying to do in the once beautiful white countries.,youtube,train
"If people came here to work, our problems would be over.",mconan,train
How much you want to bet it is n't a black male running this operation You can count on white people to be very innovative,wsf,train
"Jews control the banks, media, hollywood, even the u.s. government.",mconan,train
Jews own everything,mconan,train
"Jews control the news media, Hollywood, the highest offices, academia and most religious organizations.",mconan,train
We are forced to economically support all of them,mconan,train
Therefore they had to practice slavery before all other races .,wsf,train
"A piece of body here, a piece of brain there, a piece of leg over there.",youtube,train
"They sound so naive , when will they learn that these people do not want to intergrate just accumulate .",wsf,train
I'm tired of women complaining about men being a threat to women only to turn a blind eye to women threatening men.,mconan,train
Separation is the only answer !,wsf,train
"They must have trapped her somehow , and sent her thru the network to Israel .",wsf,train
@realDonaldTrump Would you swap Mexicans for benefit seeking Romanian migrants in the UK ? Thanks to the EU,hateval,train
Lesbian women dress like men.,mconan,train
Jews are different.,mconan,train
"The Jews have ""own interests"" in the US, and have the will to influence our government",mconan,train
Gratefulness is apparently not a trait muslims are familiar with.,youtube,train
When asked how I knew the holocaust was a lie my answer was if it was the truth there would be no laws against saying it was a lie .,wsf,train
The vast majority of Muslims are unemployed and refuse to work.,conan,train
"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood.",mconan,train
"Since Jews think they are the “chosen people”, they ask for special privileges and believe they can be above the rules.",mconan,train
I dont see them waging war trying to genocide an entire race.,youtube,train
"If muslim countries ever hope to become rich and prosperous, they have to drop the muslim part, it's simply outdated and not compatible with a modern world, which is proven again and again on a daily basis throughout the world.",youtube,train
"If you support Islam and Muslims, it is because you do not know what they really are.",conan,train
Gay men being shot is funny.,mconan,train
Germany has a big imported antisemitismproblem. Many fanatic muslims make demonstrations against Jews. This is the fruit of Merkel imigration policy. https://t.co/2C15gJlm6m,hateval,train
Western societies are too much civilised to welcome Muslims.,conan,train
"This is the argument homosexuals use to justify their behavior , that because there are no `` red letters '' about it , then homosexuality is not a bad thing .",wsf,train
"One more thing: There is not now, nor there has ever been any such thing as a ""palestinian"".",youtube,train
@ChenGonSol @phoenixkhost @phillycustoms These boats act like a taxi service for economic migrants posing as refugees and only come to Europe to seek welfare benefits of the west? If they were refugees why not stop at Turkey like the real refugees? Instea,hateval,train
Only who cannot understand what Islam and Muslims really are can support it.,conan,train
There are London areas that could be described as nothing less than little islamic republics .,wsf,train
"We cannot take our dog for a walk, because a local Muslim can be offended by this action.",conan,train
"Yes, the MSM and others would have us believe that no refugees have committed any crimes--but the evidence is... https://t.co/fvkpCri9eA",hateval,train
"We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?",conan,train
Immigrants in the US are not 'legitimate' citizens because they do not have 'legal' status.,mconan,train
Imagine when all the EU migrants go home after #Brexit. No more baguettes or pizza. People in the UK will be reduced to just eating traditional UK foods. Like chicken Balti. https://t.co/W7LJlNtzoB,hateval,train
Intolerance and violence can only increase when mass migration happens.,mconan,train
Why would you want to see this pollution spread further into our gene pool ?,wsf,train
America Is Not a Nation of Immigrants https://t.co/KtCybmQIa8 Great read...,hateval,train
`` Those evil Whites .,wsf,train
Why the mainstream media don't use more masculine voices in the news?,mconan,train
Muslims have nothing to contribute to our society.,conan,train
"Takes the whole white guilt out of it, which is the major reason why no one dares speaking ill of any foreign cultures and/or religions..",youtube,train
There is nothing for the white race: it is the one really disriminated.,mconan,train
So according to your logic since blacks have been in N.America for hundreds of yrs they should be allowed to stay ? and yes whites should leave africa .,wsf,train
If anyone knows where i can get the Uranium to do so please PM me.,youtube,train
@J_VoiceUK Listening to the world service this am criticism of Israel for wanting to deport young African male migrants it maybe evidence from Europe like France and France many are not settling and are turning to crime better the truth than living a lie,hateval,train
Last time i checked the countries that are being attacked and invaded are those will natural resources.,youtube,train
"We cannot celebrate our festivities, because Muslim can be offended by them.",conan,train
@ziadtheactivist Oh we created the Mexican refugees? Americans fight for their country. Others run..:(..,hateval,train
Gypsies like living in trailer parks.,mconan,train
Japan is able to keep clean his country from refugees. 2017 they accept only 20 from nearly 20.000 requests. This is worldrecord ! https://t.co/Y6Xvy2gXbC,hateval,train
"All the jews I have ever known will do anything for money , and all I can say is there are no good jews",wsf,train
"@V_of_Europe Actually I wonder how safe they would feel standing in the middle of a group of these ""child refugees""?",hateval,train
Maybe God was punishing them for their interracial marriage .,wsf,train
"We have become so political correct that when anybody tries to find fault with the actions of a migrant, they are accused of 'Islamophobia'.",mconan,train
Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,mconan,train
I dont see Christians/Jews bombing and killing hundreds of innocents everyday.,youtube,train
You get NON-WHITE paint,youtube,train
Biting the hand that feeds you. All part of the Hijra (immigration jihad). https://t.co/7UcTBer10r,hateval,train
why do muslims want to change the laws in the countries they go to?,youtube,train
It's saying we should have tighter immigration laws!,youtube,train
If we do not stand up against Islam they will consider our silence as a way of acceptance!,conan,train
"The Jews control everything. They own the Federal Reserve, the U.S. Congress, and the British Cabinet. They control the major media, education, and most religious groups.",mconan,train
"@MSNBC If the refugees dont get food and water - they will go back quick, here the President havnt to do much !",hateval,train
The same way they take advantage of the state everywhere else .,wsf,train
No religion claims to be the 'religion of peace' more than Islam. I wonder why they need to keep repeating this?,conan,train
Jews totally run Hollywood.,mconan,train
Ruth Davidson more interested in her lovers immigration right that doing anything useful for the poor of Scotland except suggestive photo,hateval,train
"If you look at an Alaskan malamute and a timber wolf that are two different species , they look a lot more alike than say a Congolese and a Swede .",wsf,train
"yeah, maybe if you are Jewish They just warm up the old money printing press when they might feel like they are getting low .",wsf,train
