text,split,source,p_bullying,pred_class
I think women should be able to join men's sports teams and vice versa. I really don't see any problem with for example having a 5 foot 3 inches slim women versus a 300 pound heavyweight boxer because i feel like women are very much equal to any man. Even much faster and stronger men. If anybody takes offense to my point then they need to reevaluate their lives as their are no man that could do anything better than a lady.,test,iSarcasmEval,0.9543981554844295,gender
Remember the hundred emails from companies when Covid started getting real? I’ve gotten three in regards to support for protests. And only @SavageXFenty shared helpful links and actually said black lives matter... we love capitalism 🥰🙌🏼,train,iSarcasmEval,0.954259042999486,ethnicity
Did you know? Abuse and alcoholism and depression will just ✨disappear✨ if the country is opened completely during a pandemic? #trumpisanidiot #bidenharris2020,train,iSarcasmEval,0.9532394655618687,religion
As if I didn't know this anyway! I'm an Owl according to the #BBCBodyClock quiz – what are you? https://t.co/vM07K82CTg,train,iSarcasmEval,0.9526429764281154,other_cyberbullying
@TheSpursExpress @JBurtTelegraph I've done this to my employer too. I'm expecting we'll both get the same answer,train,iSarcasmEval,0.9526122079512848,other_cyberbullying
@rickyberwick And you said Donald trump was racist 😑,train,iSarcasmEval,0.9517551125521302,ethnicity
every time i send my mom pictures of me and one of my friends doing fun things the first question she asks is if we're on a date what are you trying to tell me mother,train,iSarcasmEval,0.9514158436311824,ethnicity
"""Do a PhD, it'll be fun and rewarding,"" said no clinically sane person. Ever. I repeat. Ever.",test,iSarcasmEval,0.951132180333921,other_cyberbullying
I think Boris Johnson deserves his parties after the great job he does for the country these past few years,test,iSarcasmEval,0.9486538929282842,ethnicity
i’m going to cut off contact with every single person i know and emerge in a few months o a year from now having lost the ability to physically speak but be able to play the meanest fucking accordion you’ve ever heard in your pathetic little life,train,iSarcasmEval,0.9480886795151287,age
"Oh? You're a real anime fan? Name all the Boku no Pico characters, I'll wait.",train,iSarcasmEval,0.9461909511064075,other_cyberbullying
"@heathoween @tylerrjoseph Yes, because we need literally every single fucking celebrity to speak up on a topic that's been forced down everyone's throats for the past four months. I use the internet to get away from these fucking real life problems; not everyone needs to weigh in.",train,iSarcasmEval,0.9448319400684455,other_cyberbullying
you know what’s a novel concept? rapists and sexual assaulters not only ruin the lives of their victims but also THEIR OWN LIVES. yeah. not the victims testifying. maybe if you didn’t want rape accusations then DON’T RAPE. also a novel concept.,train,iSarcasmEval,0.9444585923301593,gender
It's so weird how I look ugly in photos but I also look ugly in the mirror,test,iSarcasmEval,0.9430148540877226,other_cyberbullying
"I recovered a repressed memory today of working at @kumandgo in high school 13 years ago &amp; having to answer the phone as “we go all out at Kum &amp; Go, this is Shelby. How can I help you?” And the prank calls that led to. Pretty sure K&amp;G owe me therapy.",train,iSarcasmEval,0.9413430415922006,age
"There are a bazillion things to do in my small town of Wadsworth. One thing you can do is ride horses on the moon and sing songs with Abe Lincoln in the bar. On top of that, I recommend eating a hundred gallons of ice cream at any local ice cream shop downtown. Some of the flavors that they have are out of this world! Additionally in the winter, I like to go over to a place called kill hill next to the main highway. The hill is up extremely high, you can see the whole world from there! It has to be at least a million feet tall!",test,iSarcasmEval,0.9376153422471843,age
My coworkers play this fun game where they try to describe bars in la crosse &amp; have me guess which one they’re talking about,train,iSarcasmEval,0.9368470940231243,other_cyberbullying
Pregnant and constantly crave KitKats. I literally have been living off of them for the past 4 months. @KitKat_US,train,iSarcasmEval,0.9363075147391821,ethnicity
"Wish I was the bitch that Elijah hewson fucking hated, sad :(",train,iSarcasmEval,0.9351264591471472,other_cyberbullying
"@kirkkorner ""But it's a deterrent"" 🙄",train,iSarcasmEval,0.9345186083578475,other_cyberbullying
maybe i am a cyber bully,train,iSarcasmEval,0.9340021200869961,other_cyberbullying
"Man-spider. The story of a spider who's bitten by a human and now has the powers of a human. Working in an office, wasting money on artisan coffee, and giving up his bus seat to a woman who turns out not to be pregnant, but just ""likes sandwiches you a-h*le"". #IntoTheSpiderVerse",train,iSarcasmEval,0.9318836290423146,religion
Just dislocated my fucking knee again while out on a walk 🙃🙃🙃 FAB,train,iSarcasmEval,0.9305149601269409,other_cyberbullying
"@AlexShawESPN @robwishart @GNev2 Does he order 11 at once and drink each one at just over 5 minutes, OR do we have to take into account going to the bar? Either way it’s a disgrace and not what we should be promoting to the kids.",train,iSarcasmEval,0.9275987969413876,other_cyberbullying
No longer a female as I refuse to wear heels ever again,train,iSarcasmEval,0.9271635358332728,gender
I love how Instagram can motivate people. I saw a post by Kim Kardashian and I was motivated to delete my account.,test,iSarcasmEval,0.9268201220674817,other_cyberbullying
"Let me guess, it has to be Charlotte Tilbury makeup. And if by chance you do take it off, use Charlotte Tilbury skincare https://t.co/0c2IfIpy8l",train,iSarcasmEval,0.9264603058112828,other_cyberbullying
Gosh sunderland twitter is a fun place to be tonight isn't it. One game. One game!!!,train,iSarcasmEval,0.9256785589126645,other_cyberbullying
yes i have little interest in doing things that applies to me,train,iSarcasmEval,0.9253469891568994,other_cyberbullying
@MollyJongFast I think it should be allowed for customer service workers to squirt water into their face like how they do sometimes to train pets,train,iSarcasmEval,0.9253043738948248,other_cyberbullying
"So my Twitter feed has to show me what tweets people I follow like. ...😐 If I unfollowed you, just know I'm tired of seeing porn",train,iSarcasmEval,0.9220648214103883,other_cyberbullying
"Ah yes, another afternoon with the WiFi down...really makes working from home that extra bit more enjoyable :)",train,iSarcasmEval,0.9217860298228197,other_cyberbullying
so the royal family is sound with pedophiles but as soon as a mixed race baby comes into it they’re scared ? makes sense 🥴,train,iSarcasmEval,0.9216956618691051,religion
"I find it hilarious that ‘black and white’ or ‘all or nothing’ thinking is considered a cognitive distortion and is a symptom of several disorders, and yet it remains a pillar of American (and Western) culture. It’s almost like…. our culture is toxic 🤔",train,iSarcasmEval,0.9216823039634298,ethnicity
I really hate the new TikTok voice over voice - she sound annoying af,train,iSarcasmEval,0.9189374488852841,gender
"It's nice to see some heritage organisations are doing the right thing and putting the safety of their staff, visitors and volunteers first. Wonder what that's like... ...for reasons, this is aimed at nobody.",train,iSarcasmEval,0.9179765336447369,other_cyberbullying
we need to normalise having absolutely fried bleach damaged hair. people should talk about this,train,iSarcasmEval,0.9179073579041527,other_cyberbullying
How does one find motivation to do basically anything? Asking for a friend.,train,iSarcasmEval,0.9175482610647702,ethnicity
love seeing that my mom has officially started posting about the horse worm medicine being good for covid actually and they’re just trying to make it look bad bc it’s so cheap 🤪,train,iSarcasmEval,0.9172125684621762,age
Does anyone not know Prince Harry got engaged? I don’t think there’s been enough in the news about it.,train,iSarcasmEval,0.9166524364092998,other_cyberbullying
"@BIGRXD12 ah yes, people with eating disorders, famous for easily being able to not worry about their weight",train,iSarcasmEval,0.9165016141450284,other_cyberbullying
"My PS4 Pro has P.T on it, which is somewhat funny as it was taken down before the PS4 Pro was even released #konami #PT #SilentHills #Spooky #PlayableTeaser #Kojima",train,iSarcasmEval,0.9136502864694369,other_cyberbullying
bad romance by lady gaga is the best song to ever come out of the american music industry and anyone who says otherwise is a liar,train,iSarcasmEval,0.9134713793389657,religion
"You were given the option to be born into a more financially stable family at conception, but chose not to avail yourself of the opportunity provided; perhaps you should now take personal responsibility for that decision, and deal with the consequences?' 🎩",test,iSarcasmEval,0.9131527810401603,age
I never thought I’d have a mortal enemy but it’s whoever keeps printing on blue paper and then leaving like 5-10 blue sheets in the math room copier when they’re done for the next unsuspecting person,train,iSarcasmEval,0.9125866858368056,other_cyberbullying
"I might be rubbish at driving, and have a less than stellar career, but I’m really good at making Spanish omelette. So, you know, there’s that.",train,iSarcasmEval,0.9123553209453816,other_cyberbullying
"@jimrossignol I choose to interpret it as ""XD"": the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch.",train,iSarcasmEval,0.9068166169922192,other_cyberbullying
Isn't it just amazing how competent the government are. You know everything is fine when we have a trustworthy PM who doesn't blatantly lie through his teeth. Everything is so great right now!!,test,iSarcasmEval,0.9066538265196248,other_cyberbullying
“The App Store [is]... an economic miracle” 🙄 but Apple magic not working today at #AntiTrustHearings #Apple stifles innovation that is the lifeblood of our economy. -Lucy McBath speaking some truth today #HouseJudiciary https://t.co/2swhC9daBM,train,iSarcasmEval,0.9063908912690203,other_cyberbullying
"apparently it's the biggest ask on the planet to find decently priced sandals with an enclosed toe. PLEASE, INTERNET. I just want to have vaguely summery shoes that don't involve me having my toes out to the world at all times lmfaoo",train,iSarcasmEval,0.9046239185542098,other_cyberbullying
I really haven't a clue why people think GP's aren't working when you look at all the supportive news headlines around!,test,iSarcasmEval,0.9027223057223288,other_cyberbullying
my favorite thing about my grandparents is that they're so afraid to talk about me being gay that our catch up phone calls are incredibly short 💘,train,iSarcasmEval,0.9000141378866661,other_cyberbullying
Funny how my phone starts turning into a piece of shit when the new iPhone comes out 🤔,train,iSarcasmEval,0.899186766895218,other_cyberbullying
I love when I learn about stuff I've apparently done and said from people😂,train,iSarcasmEval,0.8982205873283265,other_cyberbullying
if jesus was resurrected again i would vote for him,train,iSarcasmEval,0.8977830869535657,other_cyberbullying
"make it illegal to say/write ""Dems in disarray"" on account of it being stupid as fuck",train,iSarcasmEval,0.8959519510973809,other_cyberbullying
"I never thought I'd say this, but I have become one of those people who like bounty bars.",train,iSarcasmEval,0.8934908843812331,other_cyberbullying
somebody tell these birds to be quiet because they not listening to me,train,iSarcasmEval,0.8933662673043234,other_cyberbullying
shoutout to the assholes at basically every gas station rn filling up multiple gas canisters when i don’t even have enough gas to get home... 🥲,train,iSarcasmEval,0.8925197059087808,other_cyberbullying
"dad: ""are ya sending any of those boys from 5soz (wtf is a 5soz dad) a valentines gift?"" me: yes dad yes i am cuz im dating all of them duh",train,iSarcasmEval,0.8917575102508523,other_cyberbullying
Entry level jobs that require 3 years prior experience 💕💕 ly 💕💕,train,iSarcasmEval,0.8911359070257443,other_cyberbullying
"AT&amp;T is truly amazing They think my lg g7 is 3g only to the point where they sent us Walmart Altec phones and said they'd shut off service. We called them, they told us to not worry and if the phones are fine they wouldn't be shut off Guess what got shut off this morning? LOL",train,iSarcasmEval,0.8901917769320589,other_cyberbullying
"will never understand why ppl do meth,, just buy a shit tonne of incense in bulk stupid",train,iSarcasmEval,0.8873724603459084,other_cyberbullying
"@Showmasters are basically thieves, quoting it’s in the small print so you can’t have a refund. Dates moved from summer, to a 4 hour slot on a Friday evening in November which is about as much use as a telescopic sight on a knife.#WeWantARefund @UKConsumerRight",train,iSarcasmEval,0.8865765497340294,other_cyberbullying
Bit odd for someone to resign over a party that didn't happen *eye roll*,test,iSarcasmEval,0.8860427505239287,other_cyberbullying
"@OldUnclePunch Yes, because we really have that sort of power. Why do brexity types always sound like they are all paranoid conspiracy therorists?",train,iSarcasmEval,0.883223400406218,other_cyberbullying
@SuspendThePres But what were the ratings?? (Replied to his Tweet with the same thing.),train,iSarcasmEval,0.8805093026810211,other_cyberbullying
@Chris_Ransom @CityView1904 @Uzzell01 @BBCSport Aware she was not a tennis player when she left Canada at 2 yrs old?? aware she did not pick up a tennis racket until 6 years old??.aware last12 years trained at the same tennis club in Bromley Kent England??the girl is British no haters or doubters will take that away from her,train,iSarcasmEval,0.8783463996207089,religion
Using my recently acquired video editing skills on myself for a change. An oral #presentation assignment on #healtheconomics is as much fun as it sounds 🗣🎥 https://t.co/1LKHVyupie,train,iSarcasmEval,0.8782509352648754,other_cyberbullying
I just love when Twitter decides to reload the timeline seconds after you just opened it up and are in the middle of reading it.,train,iSarcasmEval,0.8778888374741641,other_cyberbullying
"@Mythical So worried about him. But if you're looking to save him, based on the topography I'd say it's somewhere on the east coast. Perhaps the Carolinas?",train,iSarcasmEval,0.8778644782275875,other_cyberbullying
Hey does anyone know of any organizations that have massive stockpiles of money that could be super useful to the world during a public crisis?????,train,iSarcasmEval,0.8771920838847406,other_cyberbullying
"Oh, no, totally, don't wear a mask and cough and splutter around me. COVID'll be a fun little time..",test,iSarcasmEval,0.8763005813719967,other_cyberbullying
"head is pounding, spent £25 on ubers last night and I have a 3000 word report to write :) yippee x",train,iSarcasmEval,0.875695698868195,other_cyberbullying
Wtf is a Justin Herbert,train,iSarcasmEval,0.8755503739621642,other_cyberbullying
"Oh wow, trolls really have a lot of time on there hands, jeez 🙄 they really don’t like getting banned #twitchtrolls",train,iSarcasmEval,0.8755314608786404,other_cyberbullying
It’s actually really easy to get into the mindset of a Tory. All I do is smash my head into a wall until I bleed and then slur incoherently about social mobility and England before stuffing handfuls of loose change into Tim Martin’s hands and kick a homeless person in the jaw.,test,iSarcasmEval,0.8752733889632858,age
I wonder if there’s a parenting manual for schools to hand out?. Some parents could really use the guidance…,test,iSarcasmEval,0.8750229059192107,age
"finished the queen's gambit, i loved a look into the 1960s in the american south with no racism just vibes",train,iSarcasmEval,0.874883642491232,ethnicity
Because of #Trump I now don't have to worry about other countries making fun of me for being fat! 🍩🍫🍰🍕 #Thankstotrump #America,train,iSarcasmEval,0.8746956396298039,other_cyberbullying
@ThomasCabaret84 @MicrobiomDigest @raoult_didier Surely you’re not suggesting that their own thorough investigation of their own suspected &lt;fraud&gt; (which found no evidence for said &lt;fraud&gt;) was carried out with anything but the very highest levels of integrity? Seems completely legit to me…,train,iSarcasmEval,0.874146724753432,ethnicity
I feel like with the pandemic and all we should now be allowed to publicly shame babies for just like coughing into the open air you know what I mean,train,iSarcasmEval,0.8732481573444612,age
I reverse imaged searched a selfie and it under visually similar images it is exclusively asian woman my am I white passing narrative is quaking,train,iSarcasmEval,0.8731717839881104,other_cyberbullying
Idk how some girls put on makeup everyday. Is it just to take selfies or have you just not discovered netflix yet?,train,iSarcasmEval,0.8702557718488226,other_cyberbullying
"Bart is closed rn in Oakland so I can’t go to work, I’m so upset....",train,iSarcasmEval,0.866880391280463,other_cyberbullying
"Ok, so @bytereview and I decided to record on the evening of the 6th, just as absolutely nothing newsworthy was happening! Perfect timing as always, to go over some of the best ITSBUPs of 2020 - and how we're settling into 2021! Listen: https://t.co/oaPLwrtcHP https://t.co/za3EHuqcWh",train,iSarcasmEval,0.8654654185901145,other_cyberbullying
yo @claires do yall do hysterectomies?,train,iSarcasmEval,0.8650431394079908,other_cyberbullying
oh you’re just friends? why’d u shave then?,train,iSarcasmEval,0.8645434549005478,gender
hot girls have tree shaped dents in their rear bumpers ❤️,train,iSarcasmEval,0.8642844800861846,gender
really honoured to have shared a coach today with a group of girls who didn’t know downing street was real and thought the prime minister and the queen lived together at buckingham palace,train,iSarcasmEval,0.8623036212950788,age
I would like to offer my complete support for the new rules as they have obviously supported the public by sticking to them at all times,test,iSarcasmEval,0.8621897369499977,other_cyberbullying
I don't know. Why wouldn't I actually love people dying everywhere with none of the people that can help doing anything about it?????,test,iSarcasmEval,0.8614875551445789,other_cyberbullying
“it’s hotter in the america right now and it feels fine british people are just being dramatic 🙄” QUICK ARE YOU SAYING THIS INSIDE UR AIR CONDITIONED HOUSE ‼️‼️‼️,train,iSarcasmEval,0.8604035617778074,ethnicity
"I'd like to thank my current employer for making me feel accepted and valued. It's particularly nice that, whenever I have some suggestions for them, that they seriously consider them and don't just automatically put their fingers in their ears and shout 'I CAN'T HEAR YOU'. Metaphorically.",test,iSarcasmEval,0.8593834173336714,other_cyberbullying
"Using an educator discount, I receive 20% off Manga at B&amp;N. This is the only reason I am a teacher.",train,iSarcasmEval,0.8573450119518845,other_cyberbullying
Old people don’t deserve rights,train,iSarcasmEval,0.857339190330634,gender
"Thanks to India for being so inept. I was hoping for a full day of cricket, got snacks and everything. Cheers. You could have at least tried. #bbccricket #INDvENG #ENGvsIND #Cricket",train,iSarcasmEval,0.8541049955797246,other_cyberbullying
Corsodyl failing to consider i like being a person who spits blood when they brush their teeth,train,iSarcasmEval,0.853556421346256,other_cyberbullying
Just tested my egg drop at my apartment complex and it fell on a man’s head :) but no worries he was bald so the yolk just wiped right off,train,iSarcasmEval,0.8534751590570238,other_cyberbullying
"I spend the day sitting or napping, I ration my food like a psychopath, and I take one walk a day. I am my dog. #Covid_19 #CoronaVirusUpdate",train,iSarcasmEval,0.8521992069555145,other_cyberbullying
"@inkofreality @StrangerTings1 @nytimes You're so close to understanding baseline biasing. You can get there, I believe in you!",train,iSarcasmEval,0.8521257951726557,other_cyberbullying
does ur dad hate you for no reason or are you normal?,train,iSarcasmEval,0.8516334713636389,other_cyberbullying
Every time I see an establishment with paper straws I turn a little bit Republican,train,iSarcasmEval,0.8497557672045358,other_cyberbullying
Loving season 4 of trump does America. Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020,train,iSarcasmEval,0.848106538325286,other_cyberbullying
Petition to call erections social dickstanding,train,iSarcasmEval,0.847126780958348,gender
trying to figure out how to use notion for my anime list. I think i’m dying,train,iSarcasmEval,0.8469542310091447,other_cyberbullying
"So the Lions fans think winning one game will change anything? Sure, and I have a bridge to sell you. :)",test,iSarcasmEval,0.8460822597685242,other_cyberbullying
i hate it here ❤️❤️❤️❤️❤️,train,iSarcasmEval,0.8448436311416636,other_cyberbullying
@SrutisJay one of them smonks weed so it's super worth it /s,train,iSarcasmEval,0.8447300892652629,other_cyberbullying
"wow, ok, unfollowing now. Was a big fan of putting your left leg in, but just heard about taking your left leg out",train,iSarcasmEval,0.844353246109925,other_cyberbullying
Why is this 30 yr old man trying to flirt w/ me at this wedding and talking about getting away with dating younger girls. Sir I will call the authorities,train,iSarcasmEval,0.8441606038264358,age
I reckon I could have put that in the net Morelos sir,train,iSarcasmEval,0.8440384516015839,other_cyberbullying
"oh great, we have to wear masks and constant tests to protect our loved ones and others around us. being a human is so hard",test,iSarcasmEval,0.8418049508665973,religion
i love when i respond to my professor immediately after she emailed me and i still haven’t gotten a response :)) (it’s been almost 4 hours) :)),train,iSarcasmEval,0.8414537837982139,other_cyberbullying
"@JasperSmiith @LentonDNRA @ShearerWest @registrarism @UniofNottingham @CllrDaveTrimble @SallyLongford @CllrDavidMellen @LilianGreenwood @MyLWE @MyNottingham Yeah just a coincidence that infection rates go up and down dependent on when students are in the area or not, also tallies in with the parties being attended by up to 3 times the amount of allowed attendees. Definitely not students 🤔🤦🏽‍♀️🙄",train,iSarcasmEval,0.8410884484903011,age
Someone should’ve had me committed the day I decided to buy a pair of non-stretch denim jeans,train,iSarcasmEval,0.8407435356541583,other_cyberbullying
"Nearly a week since my tracked parcel was sent off. Still at the same Post Office I dropped it off at apparently... What excuse do you reckon they'll use if I chase it up? COVID, Black Friday, Christmas, Other? Place bets NOW!",test,iSarcasmEval,0.8406178858097947,other_cyberbullying
Really really happy to be woken up at 6:30am again by the next door neighbour’s dog barking. Thanks a lot for that I appreciate it loads🤨,test,iSarcasmEval,0.8404873338733382,other_cyberbullying
@TheBabylonBee And the hot air and BS she generates makes for a perfect backup energy source!,train,iSarcasmEval,0.8404447732042788,gender
6 more hours and then a whoppingly massive 2days off work! wowzers!,train,iSarcasmEval,0.8401696344205843,other_cyberbullying
It makes me feel a lot safer knowing the MET Police don't investigate crimes after they happen.,test,iSarcasmEval,0.838567513093398,other_cyberbullying
I swear this triller event is run by teenagers,train,iSarcasmEval,0.8344336265088145,other_cyberbullying
You know the one thing I really wish I could see? I want a Piers Morgan esque interview with #LilleeJean where she's forced to explain her shitty behaviour and see if she storms off or comes up with some BS to make her look cute and innocent. It'd be a fun watch.,train,iSarcasmEval,0.8332631030202358,age
Man PepsiCo loves to add 750g of sugar to a mixture of their existing flavors of sodas and call it a new flavor of dew or Pepsi...,train,iSarcasmEval,0.833051186330068,gender
The fair-weather fans in all of these threads. Wake up call. Fleury is a human being. Surprise!,train,iSarcasmEval,0.8328508699635908,other_cyberbullying
just your casual reminder that #AllBirthdaysMatter and I can’t stress this enough✨fuck trump✨,train,iSarcasmEval,0.8319525435028975,other_cyberbullying
me not turning up to work is a feminist movement actually,train,iSarcasmEval,0.8294180579740892,gender
safe to say my life is a lot better https://t.co/pE5isUMOpk https://t.co/K2hep49TcF,train,iSarcasmEval,0.8293968788418392,other_cyberbullying
"Sharing is caring, I'm sure your 42 followers wouldn't have slept tonight not having this update from you⸮",test,iSarcasmEval,0.825623729187408,other_cyberbullying
"Got locked out of Twitter for saying it’s embarrassing to be an arsenal fan. That’s not okay, but people can be abusive and racist and nothing?!? Okay! 🤣🙄",train,iSarcasmEval,0.8255933396142863,other_cyberbullying
Thank god I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face,train,iSarcasmEval,0.8251144298036387,age
"🌶 Spiced Coconut curry 🥥 . A weekend spent with friends brings a week of content... or something like that 😜 . Started the weekend off with this yummy morsel, With was a fusion of miso sesame aubergine 🍆, broccoli… https://t.co/zyWiA0EX4u",train,iSarcasmEval,0.8247368250071629,other_cyberbullying
What a wonderful time to have your AC go out https://t.co/jqjqG1dGOa,train,iSarcasmEval,0.824613553108352,other_cyberbullying
"Whoever’s toddler ass sprayed the entire toilet backstage, I hope you stub your toe and bite your tongue really hard. also you were clearly dehydrated, go drink some damn water like an adult",train,iSarcasmEval,0.8235107008052487,other_cyberbullying
CLB cover art makes me want to pound my knees with a hammer.,train,iSarcasmEval,0.8234226366593916,other_cyberbullying
I love how they blur out Tristan’s face in this season of the kardashians LMAO like hmmmm I wonder who that mysterious man is,train,iSarcasmEval,0.823329009952482,other_cyberbullying
@tylerthecreator @staci_zr can i use this chiamus for my ap lang speech about parallelism lmao,train,iSarcasmEval,0.8214184462491225,other_cyberbullying
"My dad just said to me, “Hey, you’re kinda skinny, can you slip behind the fridge to look at something?” and it might be the nicest compliment I’ve ever gotten. So guys, go tell your girl you think she’s kinda skinny🥰",train,iSarcasmEval,0.8209368853486847,age
I hate you so much @Eagles,train,iSarcasmEval,0.8206451157600008,other_cyberbullying
Elaine Quijano exhibits roughly the same amount of control over this debate as two rabbits do on their first date.,train,iSarcasmEval,0.8196486073768476,ethnicity
Boehner not clapping for gender pay equality. COOL.,train,iSarcasmEval,0.8190886489535193,other_cyberbullying
yes it makes perfect sense for harry and ginny to get together. it's not like she was the most boring person ever or anything,test,iSarcasmEval,0.8187199441387301,ethnicity
"Thanks @Tesco for not informing me that my click and collect order had been cancelled when my account says it's ready to collect my partner has had to travel unnecessarily to Stafford and we still don't have our shopping, good diet I guess having to wait for my 26th delivery slot https://t.co/xq9oXEkw8o",train,iSarcasmEval,0.8172360028312669,other_cyberbullying
"Wow, work is just so rewarding and fulfilling right now",test,iSarcasmEval,0.8159382987061543,other_cyberbullying
The omicron variant has decided to give us all a wonderful gift for Christmas. For that one day it has chosen to not be spread between people at all. This gift will make me feel a lot better about being around loved ones who still refuse to get the vaccine or to wear a mask at the very least.,test,iSarcasmEval,0.8141527203139876,other_cyberbullying
Vaccinated this morning. Not sure it's worked - still committed to Apple and no extra autism detected. Bloody science.,train,iSarcasmEval,0.8135940429680615,other_cyberbullying
"@kagune_kun despicable tweet, my liege",train,iSarcasmEval,0.8134451439215983,other_cyberbullying
"I see Dettol, Toilet Duck and Zoflora are all trending on Twitter. Now why could that be... #TrumpPressBriefing",train,iSarcasmEval,0.8134393248022058,other_cyberbullying
Birds are not real and you cannot tell me otherwise.,test,iSarcasmEval,0.8130254870933435,other_cyberbullying
"@Rosievix @mouthwaite Well, illegal immigrants categorically don’t get money from the government but why let a little thing like facts get in the way of a good bit of xenophobia...",train,iSarcasmEval,0.8123849730672631,gender
Got very excited that my national trust card arrived I am officially a grandma https://t.co/mtkWJCxwom,train,iSarcasmEval,0.8108606730636323,other_cyberbullying
Just rediscovered that my nose is always in my field of vision so I will unfortunately be dropping out as I cannot continue my assigned readings in peace,train,iSarcasmEval,0.8093457564092419,other_cyberbullying
i wish i could tap in to the government bank account🙄🙄🙄,train,iSarcasmEval,0.8070425344539126,other_cyberbullying
"@BoardroomBoy Few links for you. To summarise, wearing face masks seems to be more effective than not. Who'da thunk...",train,iSarcasmEval,0.8060799394466539,other_cyberbullying
I love to pick my modules on a first come first served basis at the same time as everyone in my entire year on a website that hasn’t been updated since 1995 . Thrilling ❤️,train,iSarcasmEval,0.8055976501699335,ethnicity
So weird how Venmo hasn’t venmoed me yet really thought I was the one,train,iSarcasmEval,0.8052101841543058,other_cyberbullying
Turned 25 today but woke up with $600 from the IRS in my bank account so quarter life crisis has been postponed,train,iSarcasmEval,0.8050567792284726,other_cyberbullying
Boris looked so statesman-like in that public address,test,iSarcasmEval,0.8042269712931011,other_cyberbullying
people who say that they’re allergic to pineapple are pathological liars!!!!!!!,train,iSarcasmEval,0.803959843614971,other_cyberbullying
"@VolphanCarol @littlewhitty @mysticalmanatee I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.",train,iSarcasmEval,0.8036600933330034,other_cyberbullying
It really bugs me when teachers uncap and recap highlighters three or four times per book when marking - Poor time management! #efficiency,train,iSarcasmEval,0.8036323034882236,other_cyberbullying
love it when Jonny makes me use earphones to watch something on my phone so he can play fifa,train,iSarcasmEval,0.803210972460015,other_cyberbullying
@KhoaVuUmn Reviewer 2: this is a very weak paper that fails proof of concept. Stating a cat bed is also a wizard's hat is totally wrong and your data cannot support this,train,iSarcasmEval,0.8015461363873857,other_cyberbullying
help! i'm being haunted by dead people! (my dissertations),train,iSarcasmEval,0.801196242419622,other_cyberbullying
this bruh rly told me “Ur anger issues are my playground🥰” so uhh hmu if u wana be friends bc i need new ones k thx(:,train,iSarcasmEval,0.8009825614500307,other_cyberbullying
I think we might want to worry a little more about the risks posed by the Omicron variant than fretting over a Zoom quiz that took place a year ago. Just a thought.,test,iSarcasmEval,0.8008924380123685,other_cyberbullying
Love seeing 15 year olds being vaccinated in the states when I have to wait till the end of June for my first one,train,iSarcasmEval,0.8008048926762679,ethnicity
