text,split,source
@DuncanEdwards03 @PoliticsForAlI Well I doubt they're trying to smash the doors in to change the regulation of cough medicine.,train,iSarcasmEval
Not at all concerning that a man's just been round to fiddle with the boiler and now he's left the carbon monoxide alarm won't stop beeping,train,iSarcasmEval
Not telling anyone how I voted in case it doesn't come true #EUref,train,iSarcasmEval
just wondering how to get my diss down by 1500 words .. such fun,train,iSarcasmEval
It’s been a blissful 2.5 hours of sleep tonight,train,iSarcasmEval
Falling asleep at your laptop is always fun,train,iSarcasmEval
Trying to know all this history tonight is gonna kill me,train,iSarcasmEval
love it when Jonny makes me use earphones to watch something on my phone so he can play fifa,train,iSarcasmEval
Nice to be compared to a brick wall 😂,train,iSarcasmEval
@BellularGaming Blizzard will have to make sure it doesn't exceed the recommended fun level of 10%.,train,iSarcasmEval
if 2020 was a nose it’d be mine 🐦,train,iSarcasmEval
Would anyone like to give me some money? #FinDom,train,iSarcasmEval
Got very excited that my national trust card arrived I am officially a grandma https://t.co/mtkWJCxwom,train,iSarcasmEval
Vaccinated this morning. Not sure it's worked - still committed to Apple and no extra autism detected. Bloody science.,train,iSarcasmEval
ITS COMING HOOOOOME,train,iSarcasmEval
i wish i could tap in to the government bank account🙄🙄🙄,train,iSarcasmEval
90% of adulthood is just refilling your Brita pitcher.,train,iSarcasmEval
"I suppose though, we did sign one for the future so, you know, not all gloom and doom...we might be good in 6 years time.",train,iSarcasmEval
Where is the Chancellor? Please check the back of your sofas.,train,iSarcasmEval
"i have been informed that, as aroace and agender, i have triple visibility and am now visible from space.",train,iSarcasmEval
going to be running on three hours of sleep at work tonight! so excited!!!,train,iSarcasmEval
"@AlexShawESPN @robwishart @GNev2 Does he order 11 at once and drink each one at just over 5 minutes, OR do we have to take into account going to the bar? Either way it’s a disgrace and not what we should be promoting to the kids.",train,iSarcasmEval
i’m now reading 4 books at once what could go wrong 🧡,train,iSarcasmEval
"@ZionWarrior6 I think lunch was ready at the care home, then it was time for nap and then Countdown.",train,iSarcasmEval
@Schlippertysch1 @anon_opin Very good. Just need to work on your spelling now 👍,train,iSarcasmEval
July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far. Can’t wait for part 2. #murderhornets,train,iSarcasmEval
"Got locked out of Twitter for saying it’s embarrassing to be an arsenal fan. That’s not okay, but people can be abusive and racist and nothing?!? Okay! 🤣🙄",train,iSarcasmEval
I just absolutely LOVE how I've got to work outside for the next 3 days in the heatwave. #sweatingmyballsoff,train,iSarcasmEval
@ThePartridgePod Defrost the freezer with the cast of Hollyoaks. Any of them that wanted an extra fun trip could pop to the recycling centre with some empty pesto jars. Magic.,train,iSarcasmEval
"So, very delayed flight from Bristol to Edinburgh @easyJet, trademark vagueness from staff, with a chronic lack of empathy to boot (despite me travelling with three young children)... now, time to feed our family with £3 vouchers (at airport prices!) #bollocks",train,iSarcasmEval
we need to normalise having absolutely fried bleach damaged hair. people should talk about this,train,iSarcasmEval
"Wizkid is the king, ok lol",train,iSarcasmEval
"Ah yes, it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis 🧠 https://t.co/lShlgWYGOX",train,iSarcasmEval
"Started watching house of cards, 4 episodes in. Already I can see it was a good choice😄",train,iSarcasmEval
Social Care for the young is basically a bath board and bed rest and your done.,train,iSarcasmEval
@PONOS_EN Very nice. We're now briefly up to date. Hopefully doesn't take you so long to do the English release of the new pixie after we get 9.10.,train,iSarcasmEval
JUSTICE HAS BEEN DONE.,train,iSarcasmEval
What a Race ! #sarcastic #WTF1 https://t.co/zRtL5alnoT,train,iSarcasmEval
help! i'm being haunted by dead people! (my dissertations),train,iSarcasmEval
my neighbors taunting me outside my office window by chilling in their hot tub every remotely warm day whilst I sit here on back-to-back zooms all day every day. the audacity is astonishing.,train,iSarcasmEval
I've been doing physics for 40 minutes I think I deserve a break 😂😂😂😭 I'm never going to get it all done at this rate,train,iSarcasmEval
Billy Gunn sorta relevant for the first time in years...,train,iSarcasmEval
wish i could understand string theory without knowing math..... alas i guess i am too hot for conceptual physics,train,iSarcasmEval
"So we actually have to do hot girl summer without 1989 Taylor’s version., I’m sick",train,iSarcasmEval
"🌶 Spiced Coconut curry 🥥 . A weekend spent with friends brings a week of content... or something like that 😜 . Started the weekend off with this yummy morsel, With was a fusion of miso sesame aubergine 🍆, broccoli… https://t.co/zyWiA0EX4u",train,iSarcasmEval
considering crowd surfing the next time the hallways are too packed,train,iSarcasmEval
Avoid mass gatherings.. does this mean that I can stay home tomorrow as I work at a school? No I thought not. #schoolclosure,train,iSarcasmEval
You know the wolves match is boring when you're talking with your mate about the best way to wire up his new shed!,train,iSarcasmEval
What a wonderful time to have your AC go out https://t.co/jqjqG1dGOa,train,iSarcasmEval
@WalesOnline Riveting news.,train,iSarcasmEval
"My (extended) fam was discussing going on a trip instead of getting presents for Christmas, like okay I’m bout it... Yeah they were talking about doing to the dells. I’ll take my god damn presents thank you very much",train,iSarcasmEval
okay but like the say so song ain’t that bad. I’m unironically jam to it lmao,train,iSarcasmEval
"if you see me crying in the self-service car wash in my rosati’s uniform, no you didn’t ❤️",train,iSarcasmEval
Tinnitus is my favourite thing ever I love it. So loud so atmospheric https://t.co/mNJw5GvPzy,train,iSarcasmEval
thanks @SovietWomble for ratting my location out on stream and then embarrassing me 😂 it made my day though https://t.co/3b7Cjql2GO,train,iSarcasmEval
love living in a capitalist society where i look forward to getting a surgery where i’m legit GETTING AN INTERNAL BODY PART REMOVED bc it means i’ll get a few days off from work xoxo,train,iSarcasmEval
i love ingesting poison and then wondering why my tummy is rumbling the next morning,train,iSarcasmEval
Beautician and the Beast (1997). Best Timothy Dalton film of all time.,train,iSarcasmEval
"@FeeyaCruz Ahahahaha the Feeya I know and love, miss u 😢",train,iSarcasmEval
absolutely love waking up to the fire alarm at 7 am 😍,train,iSarcasmEval
fully vaxxed feeling very girlboss,train,iSarcasmEval
I feel like with the pandemic and all we should now be allowed to publicly shame babies for just like coughing into the open air you know what I mean,train,iSarcasmEval
"Let me guess, it has to be Charlotte Tilbury makeup. And if by chance you do take it off, use Charlotte Tilbury skincare https://t.co/0c2IfIpy8l",train,iSarcasmEval
The typhoon flew over me today absolutely fuming they forgot to bomb me,train,iSarcasmEval
love getting assignments at 6:25pm on a Friday!!,train,iSarcasmEval
Raging debate on the importance of an Orlando Magic Summer League Championship. Definitely a notch below 6 if decided by coin flip. https://t.co/LG0VRwkrKO,train,iSarcasmEval
@rits_meg @freedomsenpai hot loli,train,iSarcasmEval
Between Mikey cooking and Didi cooking for me I relaxing 😎 cooking?? I don’t know her,train,iSarcasmEval
Ah gotta love that Friday morning burnt out feeling 🌄,train,iSarcasmEval
@PFTompkins Her family should definitely not seek mental health guidance. 😬,train,iSarcasmEval
How I flirt with boys Boy: “Hey I saw you from across the room and had to come over” Me: “Wow you’re super observant. Do you have 20/20 vision?”,train,iSarcasmEval
Been trying to get my boyfriends attention. Let’s see how long it takes for him to see this tweet tho.,train,iSarcasmEval
My work email isn’t working so I can just log off for the day right? 🙄,train,iSarcasmEval
watching olympic womens beach volleyball for the plot,train,iSarcasmEval
there’s no better way to wake up than having one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed. 😑,train,iSarcasmEval
"cold ears? take out one AirPod, leave it by the stove, and forget about it for 20 minutes 🤗",train,iSarcasmEval
Do the #Hokies really have to play 5 against 6 tonight? Come on stripes,train,iSarcasmEval
Fool me once shame on you. Fool me twice shame on me. Fool me multiple times I must have become a brexiter. #Brexit,train,iSarcasmEval
"Lucky for 2nd placed Brentford that there's no stand out team like Leeds this year, or they might have no chance of winning the league. #ncfc",train,iSarcasmEval
how do I get my boyfriend in a maid costume?,train,iSarcasmEval
@DonaldJTrumpJr If only he had a press Corp in the house...oh wait! Shut up Jr! Time to get fitted for those lovely orange jumpsuits! If you can't be orange anymore at least you can wear it!!!,train,iSarcasmEval
Wtf is a Justin Herbert,train,iSarcasmEval
"""He's not welcome in a tolerant place like London"" @emmadentcoad on the Presidential visit on @BBCRadio4 The irony in that comment... #r4bh",train,iSarcasmEval
"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep",train,iSarcasmEval
thinking about quitting the path im on to become a college advisor so i can be wrong and do nothing for the rest of my life,train,iSarcasmEval
2 busy working 2 care,train,iSarcasmEval
Update: they’ve finally closed the campus which means I wasted my day going in and waiting on lectures 🙃 https://t.co/kBTOqNpX3Z,train,iSarcasmEval
STOP TREATING MARS LIKE A BACK-UP BOYFRIEND JUST FIX YOUR CURRENT RELATIONSHIP WITH EARTH BECAUSE YOU CAN'T LIVE HERE.,train,iSarcasmEval
I just don’t think it’s too much to have a perfect life with absolutely no problems 🤷🏻‍♀️,train,iSarcasmEval
The control button just fell off my laptop. How symbolic for my life.,train,iSarcasmEval
"make it illegal to say/write ""Dems in disarray"" on account of it being stupid as fuck",train,iSarcasmEval
a level tudor history can do one,train,iSarcasmEval
Can't wait until I live to be 110 years old and I have people asking me how I've lived for such a long time so that I can make up some hyper-specific secret to longevity that people will inevitably follow,train,iSarcasmEval
ugh I have to send an email??? how about I just quit!!!!!,train,iSarcasmEval
"Day 3. Luggage arrived, thanks @AirFranceFR. Non random Hungarian underwear. Talk delivered. Science sated. #metaxa http://t.co/6KPjLezQOF",train,iSarcasmEval
went to check out the bios of the (exclusively) hipster dudes that work in a rival boutique goods store and found out they all traveled internationally during the pandemic 🙃🙃🙃,train,iSarcasmEval
So in other news I just held the door open for Bam Adebayo &amp; then I fell down the stairs &amp; I think I broke my finger.. ya I'm THAT smooth,train,iSarcasmEval
I can't believe today is the last day we can be gay.,train,iSarcasmEval
did you actually fly on a plane if you didn’t post a picture of the view from your window?,train,iSarcasmEval
"Seeing as Kanye West has a range of clothing with Gap, how about me and you do a collab @FandFclothing",train,iSarcasmEval
i love jumping on zoom meetings where everyone is talking about their kids &amp; i'm stuffing my face with taco bell,train,iSarcasmEval
it’s always the girls I don’t even know that wanna talk about me 24/7 :) I love my fans :),train,iSarcasmEval
@igreen95 thx for the play by play,train,iSarcasmEval
who thinks me and sam should start a band called 'teeth at midnight' 🦷🌙,train,iSarcasmEval
omg there’s a sheet of ice in front of my school. should I slip and fall?,train,iSarcasmEval
I wish that grilled cheese helped you get that summer bod,train,iSarcasmEval
I called out an insta post for fat shaming and am now being told that making fun of someone having no neck is “not making fun of someone’s appearance” !!! The more you know guys!,train,iSarcasmEval
@andy_mansell72 @VicOtley @garry_whu @NiaAnts @davidschneider Finally someone is speaking up for the billionaires.,train,iSarcasmEval
"@mjborshell @garygilligan Hasn't he opened a few new hospitals? Oh sorry, maybe it was a new first aid box.",train,iSarcasmEval
yeah your girl is fine but does she pass out while giving blood,train,iSarcasmEval
"I recovered a repressed memory today of working at @kumandgo in high school 13 years ago &amp; having to answer the phone as “we go all out at Kum &amp; Go, this is Shelby. How can I help you?” And the prank calls that led to. Pretty sure K&amp;G owe me therapy.",train,iSarcasmEval
Accidentally made a friend in ASL today. I hate when that happens.,train,iSarcasmEval
"@BoardroomBoy Few links for you. To summarise, wearing face masks seems to be more effective than not. Who'da thunk...",train,iSarcasmEval
Kind of rude of my stomach to still make whale noises after I’ve given it a whole protein bar,train,iSarcasmEval
Because of #Trump I now don't have to worry about other countries making fun of me for being fat! 🍩🍫🍰🍕 #Thankstotrump #America,train,iSarcasmEval
Overthinking everything in life really takes a toll on you,train,iSarcasmEval
Man I just love it when I'm forced to pitch two games back to back bc our other pitcher didn't show up,train,iSarcasmEval
I’ve seen a lot of people on local Facebook groups asking AirBnB owners if they have any availability recently. If only there was a website you could use to find out if an AirBnB was available 🤔,train,iSarcasmEval
@SuspendThePres But what were the ratings?? (Replied to his Tweet with the same thing.),train,iSarcasmEval
dont you love it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,train,iSarcasmEval
@MollyJongFast I think it should be allowed for customer service workers to squirt water into their face like how they do sometimes to train pets,train,iSarcasmEval
Taxes are just the best and I cannot wait to pay more 😇🥰🥺,train,iSarcasmEval
"Goodness my parents are actually watching something on Apple TV+, brilliant, yet another streaming service! 😪",train,iSarcasmEval
alright I’m ready for some march madness🏀🔥,train,iSarcasmEval
I still can’t believe England won the World Cup,train,iSarcasmEval
dont u just love when u get ready for a cancelled date two hours early . . . yeah i wasnt excited or anything,train,iSarcasmEval
wouldn’t it be cool if i could spontaneously combust,train,iSarcasmEval
Efy is great,train,iSarcasmEval
@sonofsama1 @Santandave1 you’re trash,train,iSarcasmEval
cold queso is so much better than warm queso https://t.co/5TaMe4aSO6,train,iSarcasmEval
Wow it's almost as if it's their literal job to have a lot of knowledge about a wide array of subjects.. Funny that https://t.co/NGi02vXxnK,train,iSarcasmEval
It’s really very selfish of Silverstone to be saying the 2022 Grand Prix is 1/7-3/7 cause my holiday year starts on 1/7 and I would have to use a day of this years holiday allowance to go. I should have been consulted really 😵‍💫😵‍💫😵‍💫,train,iSarcasmEval
"""are you experiencing suicidal or homicidal ideation?"" ""only while trying to talk to a human when I call @Walgreens pharmacy""",train,iSarcasmEval
Just getting some WD40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #WD40,train,iSarcasmEval
"I’m sorry, but if you message me on Instagram wanting me to help you sell your fit tea and wraps, I’m leaving you on read. 🙃",train,iSarcasmEval
wow i love only ever buying gray and striped shirts,train,iSarcasmEval
no more instagram. we must all return to scrapbooks.,train,iSarcasmEval
"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.",train,iSarcasmEval
Thank god I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face,train,iSarcasmEval
"I hurt my foot like 3 days ago, I have no idea how, but it hurts to put pressure on it. Love that for me",train,iSarcasmEval
"me: trying to sleep slightly earlier than usual bc I feel like shit my friend, texting the group chat 13 separate times at nearly 4am: hello I don’t think so! how abt I tell u abt how bad things are going instead :)",train,iSarcasmEval
Thank you to my apartment complex for consistently cutting the grass at 8 am every Thursday for ~5 hours. It’s definitely not super obnoxious or bothersome ☺️☺️,train,iSarcasmEval
"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock, and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest, most enjoyable start to any workday.",train,iSarcasmEval
"Sometimes I feel like all this effort is just like sticking diamond encrusted alloys on a knackered Corsa. I mean, shit is what it is at the end of the day.",train,iSarcasmEval
a single man directed by tom ford simultaneously resurrected me from death only to brutally murder me once more.,train,iSarcasmEval
"Hey Siri, how do I stop simping?",train,iSarcasmEval
we love mixed signals🙄,train,iSarcasmEval
Hey does anyone know of any organizations that have massive stockpiles of money that could be super useful to the world during a public crisis?????,train,iSarcasmEval
Wow Bdubs can bench press 150 kilometers,train,iSarcasmEval
"Nothing screams “I’m a glamorous cosmopolitan woman” like following your dog down the street in the midst of winter, saying “go potty! Go POTTY!” over and over again.",train,iSarcasmEval
"Heard a rumor that Baja Blast is coming to stores and regardless if anything else I hope for in life falls through, at least I'll have this.",train,iSarcasmEval
@KhoaVuUmn Reviewer 2: this is a very weak paper that fails proof of concept. Stating a cat bed is also a wizard's hat is totally wrong and your data cannot support this,train,iSarcasmEval
A wrong impression is once again my specialty,train,iSarcasmEval
if trees would simply stop producing flammable leaves climate change would not be an issue,train,iSarcasmEval
haven’t written in months cuz there are no male teachers to impress 😣,train,iSarcasmEval
hey quick question is it fall or spring???,train,iSarcasmEval
when the toilet seat is warmed up for you&gt;&gt;&gt;,train,iSarcasmEval
me and noah forgot that today is our anniversary. if that isn’t couple goals then idk what is 😌,train,iSarcasmEval
I can’t wait to hear more about the life of an upper middle class East Asian American whose only personality trait is drinking boba tea https://t.co/SapbXLd0r2,train,iSarcasmEval
Hey what's the weather like today? Am I going to need an umbrella?,train,iSarcasmEval
trying to figure out how to use notion for my anime list. I think i’m dying,train,iSarcasmEval
Do you think anyone on Bachelor in Paradise has seen Oscar winner Parasite?,train,iSarcasmEval
"""your pronouns are what's in your pants"" ok. juicy/dumper",train,iSarcasmEval
"It’s so amazing how people forget you exist until they want something from you :,)",train,iSarcasmEval
2 things I love: 1. Being woken up by construction work an hour before my alarm. 2. Sarcasm.,train,iSarcasmEval
How bout you dont use a gazillion filters on your pictures,train,iSarcasmEval
"finished the queen's gambit, i loved a look into the 1960s in the american south with no racism just vibes",train,iSarcasmEval
Wow it’s almost like we don’t nap every single day at the exact same time wow how dare I try to do the thing we do every single day!,train,iSarcasmEval
@brruhia Nah bruh you just drinking it upside down 😂,train,iSarcasmEval
@raerenyse Easily one of the worst and most damaging takes for both trans AND cis women I have seen thus far. Congrats on reaching new levels of awful lmao,train,iSarcasmEval
@PoliticalOrgy I thing you might be on to somethink!🙄,train,iSarcasmEval
"Here comes the final of the UK #DailyBriefing - who will win, Johnson or Covid?",train,iSarcasmEval
"""You're not a normal white girl"" lol ok",train,iSarcasmEval
Great time for sim and I to have our weekly life update.... 🌛🌜🐨 (closest thing to an owl) 💤💤💤💤💤😴,train,iSarcasmEval
I love when you go to shop for plus size clothing and it's always just shoved under women's and it doesn't have any subcategories so u just have to wade thru everything like a pig being thrown slop,train,iSarcasmEval
"@richardosman @GMB @susannareid100 @piersmorgan You've a book out? I hadn't realised. Yes, you've already read this 8763 times this week, but hey.",train,iSarcasmEval
Hahahah @LibertyU is shutting down the entire campus for quarantine!! Couldn’t happen to a nicer group of Covid deniers! #CovidIsNotOver #karmaisabitch #Covid_19,train,iSarcasmEval
Brother's off on a night out and I've gone to bed cos I feel exhausted and sick.... excellent 👍🏻,train,iSarcasmEval
“The App Store [is]... an economic miracle” 🙄 but Apple magic not working today at #AntiTrustHearings #Apple stifles innovation that is the lifeblood of our economy. -Lucy McBath speaking some truth today #HouseJudiciary https://t.co/2swhC9daBM,train,iSarcasmEval
I love how they blur out Tristan’s face in this season of the kardashians LMAO like hmmmm I wonder who that mysterious man is,train,iSarcasmEval
In sunny spain at the moment!!! Hows it all in england?,train,iSarcasmEval
my super power is always biting into the sour cream side of the burrito no matter what,train,iSarcasmEval
if you display your pop funkos in the box then you’re a tory,train,iSarcasmEval
#HappyBirthdayKeanuReeves Keanu Reeves is so wholesome ☺️,train,iSarcasmEval
"Don’t worry, 20 something people who follow me here, I brushed my hair for the first time in a week today. I know, impressive.",train,iSarcasmEval
@kmflett And with a plentiful supply of rhubarb.,train,iSarcasmEval
Hearing Kendrick Perkins refer to Alec Burks as Alecs Burk like he’s attorneys general &gt;&gt;&gt;&gt;,train,iSarcasmEval
"Wait didn’t covid go away?? It’s after November third so it definitely should be gone now...wait...I’m confused...121,000 cases in a day? You’re telling me THE WHOLE WORLD didn’t fake a pandemic for the US election? No way...",train,iSarcasmEval
We really need to remind people that universal healthcare means never needing to sit through another annual explanation of benefits meeting,train,iSarcasmEval
wow. i left on time today and the airport connector is all the way backed up. love that,train,iSarcasmEval
maybe i am a cyber bully,train,iSarcasmEval
"""@elliekonsker: FLORIDA YOU LITERALLY HAVE ONE JOB""",train,iSarcasmEval
Andrews really trying to explain to me that football and rupauls drag race aren’t the same thing when it in fact is the same thing.,train,iSarcasmEval
day 5 of people being mad about ellen sitting by gw bush is when we'll finally get to the bottom of this,train,iSarcasmEval
"Cool guy in a big truck honked really long at the garbage truck because it slowed down to turn; I felt he wanted everyone to know how cool he is, so I decided to tweet about it on his behalf.",train,iSarcasmEval
NOT OLIVIA RODRIGO TRAITOR IN THE BACKGROUND #LoveIsland,train,iSarcasmEval
i’ve never had protected sex,train,iSarcasmEval
"Duodenum, Jejunum, and Ilium would be cute names for triplets, don’t @ me",train,iSarcasmEval
Only yelled at one person while biking home this evening. Improvement!,train,iSarcasmEval
".@taylorswift13 is 100% going to post another photo with 5 holes in a fence 5 days before Lover is released, isn’t she?",train,iSarcasmEval
the fact that “breaking: school shootings preventable” was an actual headline on nbc tonight is actually laughable,train,iSarcasmEval
I love when I start choking on my water in my 8 person class,train,iSarcasmEval
Whoop diddy scoop poop,train,iSarcasmEval
@WilliamShatner Mr Shatner whilst you were sleeping you asked me to join Facebook messenger and then after a polite conversation you then offered me gold necklaces and a singed (sic) tee-shirt - you made my Friday night sir... just awaiting your instructions so I can wire the money...,train,iSarcasmEval
is it illegal to discriminate against someone on the basis that they have a joker tattoo,train,iSarcasmEval
it’s been 20 hours and i want another chai latte with pumpkin cold foam i can’t afford this!,train,iSarcasmEval
It would be a real shame if people shared this around and filled it with fake info. People should definitely not do that 😉 https://t.co/Px7dYqjh3I,train,iSarcasmEval
"Well done Henri, cost us the win #nffc",train,iSarcasmEval
I love not being pregnant so much it’s my fave thing about myself,train,iSarcasmEval
@ray_harren @tkinsonn buy really rare pokemon card,train,iSarcasmEval
you like ketchup but not tomatoes??? grow up,train,iSarcasmEval
Big day in the Mumford house #sports day,train,iSarcasmEval
@ShareZone5 @StockpickB You are a right bundle of laughs to take to the pictures Draft!,train,iSarcasmEval
“If I could have changed anything about my childhood I would have never watched spongebob” -no one,train,iSarcasmEval
"#bbcqt It sure would be nice if Ms May decided to answer a question, rather than dance readily around it.",train,iSarcasmEval
Does anyone not know Prince Harry got engaged? I don’t think there’s been enough in the news about it.,train,iSarcasmEval
@sadgirlkali Make your husband agree to let you die first. FUN date topic for discussion,train,iSarcasmEval
im ollie im 5'8 and i think my 5'7 boyfriend is short,train,iSarcasmEval
"Tonight @ dinner I sat by &amp; chatted w/ the former chancellor of Ole Miss, a former Miss MS, &amp; the owner of the Miss America pageant Casual.",train,iSarcasmEval
wow this growth spurt is really taking longer than i thought haha,train,iSarcasmEval
"Quarantine Day 256: Dear Ancient Greeks, re: the blanket-wearing—I get it. #QuarantineLife",train,iSarcasmEval
my bf took my off his lock screen which obvi means he’s cheating on me,train,iSarcasmEval
Gonna go cry now some no face told me to lose weight x,train,iSarcasmEval
'Margaret Thatcher' is trending... has 2016 taken another one?,train,iSarcasmEval
"Hear me out... The lyrics in ""coney island"" should've been ""lost again with no surprises, disappointments close your EYESES"" Fixed it for you @taylorswift13 😉 #evermorealbum @taylornation13",train,iSarcasmEval
"At least half of my days are still bad days and let me tell you, i've never once killed 8 people because of it. A true miracle apparently",train,iSarcasmEval
Of course the moment I front the system is in utter chaos 🥴,train,iSarcasmEval
"Day 38 of quarantine is an interesting time to get a new drum kit, neighbor",train,iSarcasmEval
Hate this site [CHIRPBIRDICON],train,iSarcasmEval
did you know there is a direct correlation with how cool someone is and how high they cuff their pants?,train,iSarcasmEval
@McDonaldsUK Would love a cheeky McDonald’s breakfast before a busy day at work would set the day off on the right foot ! 💓 #FancyAMcDonalds,train,iSarcasmEval
I swear this triller event is run by teenagers,train,iSarcasmEval
What kind of sins have y’all been committing for God to punish us with this kinda weather...,train,iSarcasmEval
I’m really looking forward to not hugging my friends and family through choice rather than by law.,train,iSarcasmEval
Men will literally fake an injury on the football field instead of going to therapy,train,iSarcasmEval
I don't think Republicans have any self awareness or any idea of how the world works... Nice try though.,train,iSarcasmEval
There is not enough people here #ivoryrooms,train,iSarcasmEval
I love online shopping because if I am physically in a store and an employee even looks at me I will immediately leave.,train,iSarcasmEval
WHO LET THE LAUNDRY PILE UP 5 BASKETS. Goodness.,train,iSarcasmEval
Boehner not clapping for gender pay equality. COOL.,train,iSarcasmEval
Drop in Center to let people get the 1st or 2nd Vaccine open today . I went thinking I was able to get my 2nd one . Wait in the que 30 mins .sits down arm ready to get ! Sorry your 12hrs to early !!! We cannot vacinate you till 56 days !!! @NicolaSturgeon #Seriously,train,iSarcasmEval
"""I'm concerned about the environmental impact of my contact lenses,"" says the occasional daily wearer, throwing their Starbucks cup in the test room bin.",train,iSarcasmEval
Shout out James Boswell #unibowl,train,iSarcasmEval
@ThomasCabaret84 @MicrobiomDigest @raoult_didier Surely you’re not suggesting that their own thorough investigation of their own suspected &lt;fraud&gt; (which found no evidence for said &lt;fraud&gt;) was carried out with anything but the very highest levels of integrity? Seems completely legit to me…,train,iSarcasmEval
@xNemoooo @McDonaldsUK @tasshx Say swear you didn’t down all bev’s at Acapulco’s straight after?? 😘,train,iSarcasmEval
I got called ugly on Twitter by an uneducated teen who refuses to show his face:( I’m gonna cry myself to sleep😭 I’m in gut wrenching pain!,train,iSarcasmEval
"@benshapiro it’s true, every time my little cousins put on their masks they choke to death and have to be revived. it’s very stressful for us.",train,iSarcasmEval
Just dislocated my fucking knee again while out on a walk 🙃🙃🙃 FAB,train,iSarcasmEval
Headaches that last all day nonstop🥰😍,train,iSarcasmEval
"Pissed off at @TMobile_USA and just want out of my contract, but I'm sure that would just be way too easy, ugh :(",train,iSarcasmEval
Football is turning into an anatomy lesson. COOL,train,iSarcasmEval
